RK,TEAM,CONF,ADJ. EFF. OFF.,ADJ. EFF. DEF.,EFF. FG% OFF.,EFF. FG% DEF.,TURNOVER% OFF.,TURNOVER% DEF.,OFF. REB% OFF.,OFF. REB% DEF.,FT RATE OFF.,FT RATE DEF.,FT%OFF.,FT%DEF.,2P% OFF.,2P% DEF.,3P% OFF.,3P% DEF.
97,Vanderbilt 9,SEC,113.1,94.7,52.1,48.1,18.2,16.1,24.8,27,34.8,30.7,77.7,69.9,48.1,46.8,37.6,33.8
,,,44,25,97,70,146,312,302,76,187,66,11,143,226,76,61,101
98,Gardner Webb,BSth,102.4,103.2,52.1,49,20.4,20.4,30.8,28.6,44.7,40.8,63.5,69.4,50.3,46.8,37.6,35.5
,,,213,140,98,103,299,53,117,153,6,290,343,113,134,74,58,194
99,Cornell,Ivy,99.9,108.3,52.1,51.9,20.1,15.5,22,27.2,29.5,31.8,69.8,74,53.6,51.1,33.3,35.6
,,,261,247,99,225,282,330,334,85,312,87,189,334,31,240,252,206
100,Elon,CAA,103.9,102.4,52.1,48.6,16.6,14.9,24.2,26.7,30.7,26.4,69.7,71.2,50.9,48.8,35.7,32.2
,,,179,121,100,85,50,339,315,64,292,14,194,223,104,146,137,41
101,Wisconsin 8,B10,115.3,93.1,52.1,47.5,17,19.5,35.9,25.9,32.9,28,64.4,73.9,51.1,43.1,35.9,37.6
,,,34,14,101,45,68,111,18,42,249,32,332,333,96,11,128,304
102,Wright St.,Horz,106.2,106.2,52,52,20.4,19.5,29.4,26.5,38,37.1,76,71.2,49.4,52,37.2,34.8
,,,137,210,102,231,296,114,172,59,100,216,27,217,169,269,70,160
103,Washington St.,P12,104.6,105,52,52.8,18.1,14.7,20,28.5,27.2,27.9,75.3,69.6,50.6,52.6,36.6,35.4
,,,164,187,103,275,141,340,345,151,340,30,36,120,119,296,99,192
104,Georgetown,BE,108.1,97.4,52,47.4,20.1,17.3,29,30.5,42.6,38.8,73.2,69.9,51.8,46.8,34.9,32.4
,,,102,52,104,41,283,254,191,233,21,244,85,146,72,73,173,49
105,Cincinnati 6,Amer,116,93,52,45.2,15.3,20.2,35.5,29.4,32.5,29.1,68.6,73.6,52.1,41.4,34.5,34.4
,,,31,12,105,11,14,64,22,182,259,41,232,324,58,5,190,131
106,Xavier 11,BE,116.3,98.9,51.9,51.6,18.4,17.5,34.5,25.5,41.1,33.4,68.8,69.8,52,52.5,34.5,33.4
,,,27,64,106,215,162,236,30,33,36,130,226,140,66,291,192,87
