RK,TEAM,PAKE,PASE,WINS,LOSS,W%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,F4%,CHAMP%
67,Utah St.,-1.3,-0.8,1,5,0.167,5,1,0,0,0,0,0,0,5.10%,0.60%
68,Virginia,-1.6,-1.7,1,2,0.333,2,1,0,0,0,0,0,0,8.30%,0.60%
69,Wichita St.,0.8,1.1,2,1,0.667,1,1,1,0,0,0,0,0,4.60%,0.60%
70,Creighton,-3.1,-3,1,6,0.143,6,1,0,0,0,0,0,0,8.30%,0.50%
71,Mississippi,-0.3,-0.5,2,2,0.5,2,1,1,0,0,0,0,0,6.20%,0.40%
72,UNC Wilmington,-0.9,-0.6,1,4,0.2,4,1,0,0,0,0,0,0,5.20%,0.40%
73,St. John's,-0.7,-1.9,1,2,0.333,2,1,0,0,0,0,0,1,4.90%,0.30%
74,Seton Hall,1.2,1.1,3,3,0.5,3,2,1,0,0,0,0,0,2.90%,0.30%
75,Miami FL,0.6,-0.1,3,3,0.5,3,2,1,0,0,0,0,0,4.40%,0.30%
76,UNLV,1.4,0.8,3,3,0.5,3,2,1,0,0,0,0,0,3.20%,0.30%
77,Milwaukee,1.3,1.3,3,3,0.5,3,2,1,0,0,0,0,0,3.10%,0.30%
78,UAB,1.1,1.1,3,3,0.5,3,2,1,0,0,0,0,0,3.40%,0.20%
79,Charlotte,-1,-1.7,1,4,0.2,4,1,0,0,0,0,0,0,2.90%,0.20%
80,Bradley,1.4,1.8,2,1,0.667,1,1,1,0,0,0,0,0,2.50%,0.20%
81,Dayton,-1.8,-2.8,0,3,0,3,0,0,0,0,0,0,0,2.80%,0.20%
82,Virginia Tech,0.2,-0.2,1,1,0.5,1,1,0,0,0,0,0,0,2.00%,0.20%
83,George Washington,-0.7,-0.9,1,3,0.25,3,1,0,0,0,0,0,0,3.50%,0.20%
84,Kansas St.,0.2,0.4,1,1,0.5,1,1,0,0,0,0,0,0,1.60%,0.20%
85,Pacific,0.6,0.5,2,3,0.4,3,2,0,0,0,0,0,0,2.90%,0.20%
86,Auburn,1.6,1.5,3,2,0.6,2,2,1,0,0,0,0,0,2.60%,0.20%
