RK,TEAM,CONF,ADJ. EFF. OFF.,ADJ. EFF. DEF.,EFF. FG% OFF.,EFF. FG% DEF.,TURNOVER% OFF.,TURNOVER% DEF.,OFF. REB% OFF.,OFF. REB% DEF.,FT RATE OFF.,FT RATE DEF.,FT% OFF.,FT% DEF.,2P% OFF.,2P% DEF.,3P% OFF.,3P% DEF.
,,,160,250,57,328,283,173,248,34,17,164,66,241,160,278,7,340
58,Harvard,Ivy,101.8,109.8,52.4,51.2,21.7,21.3,26.8,34.7,42.3,32.9,72.4,66.9,51.4,50,36.2,36.2
,,,177,304,58,263,232,132,322,255,35,92,65,61,55,248,75,271
59,Western Kentucky 12,SB,110.1,102.1,52.4,49.5,20.1,19.7,37.1,30.9,33.8,31.3,69.3,68.9,49.9,48.2,37.7,34.9
,,,60,173,59,179,144,215,40,89,234,57,156,168,90,172,40,212
60,Boise St.,WAC,102.2,101.5,52.4,49.6,21.2,18.6,29.5,32.5,29.5,36.1,69.3,67,52.8,48.7,34.3,34.5
,,,169,154,60,188,212,290,268,165,323,169,157,69,26,197,150,181
61,VMI,BSth,106.9,108.9,52.3,55.6,16.2,27.2,27.2,42.1,32.9,30.6,74.1,66.3,52.3,56.9,34.8,34.8
,,,95,296,61,340,5,1,319,344,266,48,30,39,33,342,128,208
62,Xavier 4,A10,109.9,90.8,52.2,43.7,21.7,18.4,36.9,27.8,45.3,33.2,67.5,66.1,48.8,41.6,39.4,32.4
,,,63,11,62,7,229,302,48,17,12,96,219,35,134,8,17,61
63,Liberty,BSth,104.8,108.5,52.1,50.7,19.1,20.8,29.9,35,36.2,26.1,71.2,67.7,51.8,50,35,34.4
,,,121,293,63,245,79,153,263,266,183,9,93,96,46,247,122,177
64,Illinois St.,MVC,108.6,96.3,52.1,46.9,19.2,19.6,33.2,26.8,34.2,31,69.2,70.6,48.6,47.6,38,30.4
,,,69,63,64,71,82,225,149,7,223,56,161,260,141,141,36,17
65,VCU 11,CAA,108.4,95.2,52,45,19,21.8,32.1,34.1,36.7,37.7,70.5,70.6,50.4,42.4,36.9,33.7
,,,72,49,65,27,74,102,196,232,165,205,110,259,77,17,60,132
66,Richmond,A10,106.7,101.7,51.8,48.6,18,22.3,28.7,36.1,33.3,42.8,67.7,71.7,52.1,48,34.1,33.3
,,,98,163,66,140,37,77,288,294,248,291,211,304,39,153,158,112
67,IUPUI,Sum,102.5,104.3,51.8,53.1,19.9,21.9,30.6,30.9,35,28.9,66.1,72.8,52,49.4,34.3,39
,,,162,219,67,320,124,97,245,94,205,22,257,330,42,230,148,338
68,Wyoming,MWC,106.3,103.2,51.7,49.6,20.4,15.3,26.2,28.6,54.4,31.5,73,71.7,51,50,35.4,32.6
,,,101,193,68,189,160,342,326,28,1,61,51,302,62,249,108,74
69,Butler 9,Horz,109.7,95.1,51.7,44.6,20.1,20.6,32.5,29.6,43.5,34,72.2,71.1,50.6,42.3,35.2,32.6
,,,64,48,69,15,142,168,177,51,24,120,68,283,73,16,116,75
70,Cal St. Northridge 15,BW,102.4,97,51.6,48.5,24.4,23.7,36.6,32.2,34.4,42.5,69.2,73,50.3,48,36.1,32.8
,,,163,68,70,138,321,27,56,144,217,288,162,333,82,156,81,85
71,Creighton,MVC,111,98.8,51.6,48,18,23.5,28.9,34.1,39.8,37.6,74.9,69,48.3,46,38,34.6
,,,49,103,71,115,35,34,281,234,77,201,21,175,155,82,35,188
72,Northern Iowa 12,MVC,109.4,100,51.6,48.7,18.5,17,28.5,26.7,41.9,31.8,75.7,71.2,51.5,46.3,34.4,35
,,,66,130,72,144,50,327,293,6,41,68,12,287,50,93,146,221
73,Green Bay,Horz,112.4,103.2,51.6,47.9,19.1,22.5,33.9,37.3,38.6,38,78.9,71.2,46.2,47.1,40.7,32.8
,,,38,192,73,111,80,64,132,320,110,213,2,286,244,123,4,84
74,Wagner,NEC,96.5,106.7,51.5,49.8,22.1,22.1,30.2,32,36.4,35.4,62.6,69.8,48.1,48.5,38.4,35
,,,262,263,74,201,246,90,255,137,179,152,319,231,163,189,26,219
75,East Carolina,CUSA,110,113.5,51.5,51,18.1,14.5,30.7,35.1,36.5,34.5,73.8,72.3,47.4,50.9,38.2,34.1
,,,61,338,75,255,39,344,242,268,176,134,36,317,193,281,32,161
76,Idaho,WAC,104,103.5,51.5,49.5,19.5,21.1,28.8,35.6,40,36.3,65.4,71.1,50.4,48.1,36,34.7
,,,138,202,76,180,104,138,283,280,69,171,280,285,78,165,85,193
77,UAB,CUSA,108.4,94.6,51.4,47.9,16.7,20.6,28.3,28.8,34.6,30.4,70.7,70.3,51.8,47.5,33.7,32.5
,,,73,42,77,112,11,166,297,33,212,45,105,245,44,137,181,69
78,Chicago St.,ind,105.2,112.7,51.3,52.9,19.9,22.7,37.2,34.1,37.6,45,67.8,68.4,51.6,51.3,33.8,37.4
,,,113,331,78,316,130,61,39,230,147,316,208,138,48,292,173,318
79,Appalachian St.,SC,101.2,109.6,51.3,51.4,24.4,17,37.4,28.4,41.1,40.4,70.5,71.1,49.1,50.5,36.9,35.6
,,,184,301,79,276,320,329,34,26,50,263,115,284,123,268,63,252
80,Long Beach St.,BW,104.2,105,51.3,51.7,20.7,19.9,31,32.2,37.6,38.6,67.6,68.9,52.3,50.1,33,36.4
,,,133,238,80,283,181,200,237,150,146,228,215,170,35,254,221,283
