RK,YEAR,NAME,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,3P
308,So,Michael Thompson,Northwestern,B10,81.8,3.1,2.1,109.1,18.8,53.6,56.1,1.4,6.3,24.4,18,0.3,2.6,29.7,0.452,0.417
309,So,Robo Kreps,Illinois Chicago,Horz,81.9,3.1,3.3,113.4,18.1,53.6,57.4,2.1,8.3,10.5,15.1,0,2,25.7,0.478,0.405
310,Sr,Kevin Lisch,Saint Louis,A10,84.5,3.1,4.4,105.3,23.5,46.1,52.3,1.2,11.8,17.7,13.7,0.1,2.4,36.9,0.341,0.378
311,Jr,Earl Clark,Louisville,BE,85.4,3.1,5.7,100.3,24.6,49.2,51.7,9.1,18.7,18.2,22,4.1,1.7,31.4,0.493,0.326
312,So,B.J. Holmes,Texas A&M,B12,54.5,3.1,7.4,124.7,17.8,49.3,55.6,3.1,8.3,13.2,7.5,0.6,2.4,40.7,0.287,0.41
313,Jr,Kyle Austin,UC Riverside,BW,61.2,3,0.8,103.8,29.9,47.1,51.8,8,17.4,11.9,14.1,0.4,1.1,35,0.471,0.313
314,So,Steven Gray,Gonzaga,WCC,67.1,3,6.8,121.4,16.4,56,57.9,5.5,7.6,12.6,11.5,1.2,2.2,23.9,0.577,0.365
315,Sr,Tasheed Carr,Saint Joseph's,A10,82.8,3,4.1,102.8,24.7,46.8,51.5,3.8,12.3,27.7,17.7,0.6,2.4,41.1,0.391,0.408
316,Jr,Daniel Hackett,USC,P12,92.7,3,4.3,104.1,20.4,52.7,57.8,1.5,11.8,24.7,26.6,0.8,2.3,54.9,0.505,0.376
317,Sr,Darrion Griffin,Jackson St.,SWAC,74,3,4.3,111.4,24.9,52.2,58.2,7.8,14.1,21.5,18.3,0.5,2.6,66.6,0.55,0.267
318,Jr,Obi Muonelo,Oklahoma St.,B12,74.7,3,5,109.1,20.4,53.2,54.4,4.8,21.9,10.4,13.4,0.1,1.7,15.5,0.44,0.398
319,Jr,Brandon Costner,North Carolina St.,ACC,69.9,3,4.4,105.6,25.8,53.5,57.6,7.2,17.4,17.4,23,3.3,1.4,42,0.538,0.353
320,Jr,Roman Martinez,New Mexico,MWC,75.8,3,6.5,117.1,16.7,58.6,59.8,8.4,17,9.8,14.7,1.2,2.1,20.8,0.523,0.418
321,Sr,Mike Williams,Cincinnati,BE,62.8,3,2.8,113.5,18.9,51.8,57,9.8,12.7,12.2,18.1,1.6,0.8,48,0.513,1
322,So,Cam Long,George Mason,CAA,80.8,3,5.1,111,20.7,54.2,57.8,4.3,12.5,20.4,20.2,0.2,2.2,36,0.5,0.404
323,Jr,Jamal Boykin,California,P12,57.3,3,4.3,116.3,21.1,53.5,56.2,12.8,21.1,7.6,11.6,1.3,1.3,32.8,0.529,0.5
324,Sr,Demetrius Young,Stony Brook,AE,42.5,3,8.9,134.4,19.8,68.6,70.3,12.5,14.2,7.8,12.4,3.1,2.3,30.4,0.662,0.6
325,Jr,Osiris Eldridge,Illinois St.,MVC,84.6,3,5.3,105.5,23,49.3,51.9,5.2,15.8,15.3,16.2,1.4,2.7,26,0.456,0.353
326,Jr,Louis Dale,Cornell,Ivy,51.2,3,3.1,110.1,26.7,52.4,58.3,3.8,14.7,26.5,20.8,0.2,2.6,41.3,0.515,0.359
327,Sr,Domonic Tilford,South Alabama,SB,81.6,3,1.5,107.7,23.9,51,55.1,1.2,7.5,18.3,19,0.1,1.7,26.2,0.403,0.411
328,Jr,Kevin Sims,Tulane,CUSA,86.8,3,1.8,109.5,20.1,50.9,57.3,1.4,6.1,24,18.8,0.1,1.4,46.1,0.434,0.405
329,Jr,Brett Harvey,Loyola MD,MAAC,69.6,3,1.1,110.9,22.7,43.2,53.8,2.8,7.2,17.6,15.5,0.1,1.8,53.1,0.379,0.322
