RK,YEAR,NAME,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,3P
643,Jr,Robert Hatter,Cornell,Ivy,59.4,2.2,-0.9,94.1,35.6,47.0,50.8,3.1,9.2,30.1,19.0,0.5,2.2,33.6,0.457,0.33
646,Sr,Eric Jacobsen,Arizona St.,P12,56.0,2.2,1.9,117.2,16.3,57.9,60.0,10.3,15.0,4.5,14.0,4.7,0.5,61.4,0.577,0.5
647,Fr,Deyonta Davis,Michigan St.,B10,46.1,2.2,6.8,119.4,18.5,59.8,60.1,13.6,19.0,7.5,14.8,10.2,0.8,19.1,0.598,0.0
648,So,Donte Grantham,Clemson,ACC,80.8,2.2,3.4,106.6,18.3,48.4,51.7,3.9,10.7,14.4,14.9,1.6,1.9,18.5,0.423,0.354
649,So,Muhammad-Ali Abdur-Rahkman,Michigan,B10,70.2,2.2,2.5,112.9,16.3,52.0,54.7,2.7,9.4,11.5,9.4,1.0,1.4,27.0,0.509,0.361
651,Jr,Katin Reinhardt,USC,P12,66.2,2.2,3.6,108.1,19.2,53.4,55.2,2.7,8.1,9.5,15.0,0.5,2.1,14.0,0.509,0.373
654,Jr,Justin Tuoyo,Chattanooga,SC,60.8,2.2,2.8,113.1,22.0,52.5,56.8,10.3,13.5,8.2,13.6,10.3,1.6,60.4,0.537,0.182
656,So,Kyle Kuzma,Utah,P12,59.6,2.2,1.5,103.2,24.6,54.6,55.8,9.6,17.7,12.2,19.6,1.8,0.8,36.0,0.577,0.265
667,Jr,I.J. Ready,Mississippi St.,SEC,71.2,2.1,1.7,107.8,18.7,47.0,50.6,1.5,8.2,26.7,16.4,0.1,2.5,22.7,0.494,0.286
671,Jr,Tarik Phillip,West Virginia,B12,55.2,2.1,7.1,107.4,21.9,49.8,55.6,3.3,10.1,22.9,23.1,1.5,3.8,65.5,0.422,0.409
673,Fr,Kevin Puryear,Missouri,SEC,61.9,2.1,0.9,104.3,23.2,49.0,56.2,5.9,14.5,3.9,15.8,0.6,0.9,47.3,0.493,0.317
676,Jr,Kyle Davis,BYU,WCC,67.7,2.1,3.0,107.9,21.1,55.4,56.7,8.8,19.6,8.3,16.9,5.3,1.4,42.2,0.547,0.467
689,Fr,Micheal Warren,Cal St. Northridge,BW,72.3,2.1,1.0,105.5,21.8,48.6,55.8,4.3,10.2,15.4,16.6,1.0,2.5,55.2,0.48,0.333
692,Jr,Fredrick Edmond,Western Kentucky,CUSA,68.9,2.1,3.2,108.2,21.9,58.1,57.9,4.5,18.7,18.8,19.2,1.6,1.9,43.4,0.579,0.4
694,Jr,JaJuan Johnson,Marquette,BE,56.5,2.1,5.9,110.0,20.2,56.2,59.5,3.8,11.2,16.7,17.6,1.0,3.7,28.6,0.557,0.385
695,So,Paul Miller,North Dakota St.,Sum,66.7,2.1,0.9,102.3,24.3,51.1,54.4,1.3,14.8,10.9,15.3,0.9,1.3,26.5,0.399,0.411
704,So,Kam Williams,Ohio St.,B10,53.9,2.1,4.5,117.6,16.5,54.9,56.6,2.1,6.8,7.7,7.9,0.7,1.9,10.7,0.448,0.437
712,Jr,Malik Dime,Washington,P12,51.9,2.1,4.5,124.1,13.0,61.9,65.0,11.0,15.4,0.7,15.3,10.8,1.1,46.3,0.619,0.0
713,Jr,Landen Lucas,Kansas,B12,43.1,2.1,6.1,120.1,15.9,63.1,64.7,15.0,25.5,4.5,19.5,4.2,1.3,76.6,0.636,0.0
731,So,A.J. Jacobson,North Dakota St.,Sum,86.8,2.1,0.6,108.7,18.9,50.3,55.1,1.9,11.5,9.2,11.9,1.4,1.0,38.5,0.506,0.333
732,Jr,Josh Brown,Temple,Amer,88.8,2.1,2.7,109.1,14.9,46.9,50.5,1.2,13.5,25.7,15.7,1.3,2.1,28.3,0.444,0.346
740,So,Craig Victor II,LSU,SEC,50.6,2.0,-0.9,101.2,22.1,45.6,49.1,8.6,13.7,5.6,10.9,2.5,2.0,47.9,0.461,0.167
743,So,Obi Enechionyia,Temple,Amer,60.2,2.0,2.9,106.4,21.2,51.9,53.8,4.1,12.2,4.9,10.3,3.8,0.8,21.5,0.461,0.386
