ï»¿RK,YEAR,NAME ,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,3P
477,Jr,Payton Henson,Vermont,AE,58.3,2.6,3.3,116.2,21.1,55.7,59.6,6.7,17.1,8.4,13.8,1.5,1.2,32.0,0.592,0.309
480,So,Terance Mann,Florida St.,ACC,62.6,2.6,5.2,120.1,16.1,59.3,61.2,8.6,11.5,10.9,16.4,0.7,2.2,44.9,0.611,0.304
483,Jr,Isaiah Wilkins,Virginia,ACC,63.3,2.6,8.9,117.6,15.9,56.8,59.2,11.7,17.4,8.4,16.2,6.8,2.5,35.2,0.555,0.571
485,Sr,Jordan Mathews,Gonzaga,WCC,70.0,2.6,6.6,116.8,16.9,53.5,56.3,2.9,8.9,8.5,9.7,0.4,1.8,27.6,0.431,0.392
486,Fr,Zach Collins,Gonzaga,WCC,43.1,2.6,10.0,120.6,24.8,67.6,70.3,12.2,23.2,4.4,20.2,9.8,1.5,71.5,0.672,0.476
489,Jr,Sviatoslav Mykhailiuk,Kansas,B12,67.6,2.6,4.6,115.6,15.5,56.8,58.0,3.4,8.6,7.7,14.6,0.9,1.8,16.8,0.519,0.398
491,Sr,Deon Edwin,Kent St.,MAC,71.3,2.6,4.1,110.7,23.2,50.9,55.2,6.6,15.1,16.2,17.9,1.7,2.6,44.2,0.508,0.34
494,Sr,JaJuan Johnson,Marquette,BE,62.7,2.6,5.2,105.0,24.6,52.9,56.6,3.2,15.4,18.9,20.2,1.8,4.1,28.4,0.512,0.381
511,Jr,Duncan Robinson,Michigan,B10,49.8,2.5,5.5,123.2,17.0,61.9,63.2,1.9,9.3,8.3,9.2,1.2,1.2,14.9,0.578,0.424
512,Jr,Isaac Haas,Purdue,B10,48.2,2.5,2.9,106.5,30.5,58.7,62.4,11.5,18.0,6.4,21.4,3.8,0.8,63.8,0.587,0.0
530,Sr,Landen Lucas,Kansas,B12,61.5,2.5,3.8,114.5,16.5,63.1,63.6,13.7,21.8,6.8,23.4,3.8,1.1,47.5,0.631,0.0
533,So,Donte DiVincenzo,Villanova,BE,63.8,2.5,5.5,112.0,19.1,55.6,58.1,5.5,12.7,12.0,18.1,1.3,2.2,35.5,0.563,0.365
536,Fr,Carson Williams,Northern Kentucky,Horz,62.7,2.5,2.4,117.3,20.2,59.3,62.4,10.7,15.5,9.8,17.4,1.6,1.1,59.8,0.599,0.0
538,Jr,Daxter Miles Jr.,West Virginia,B12,46.0,2.5,7.1,116.4,19.2,52.8,54.0,6.3,7.0,14.1,11.3,0.5,3.7,29.2,0.555,0.333
543,Jr,Johnathan Williams,Gonzaga,WCC,60.6,2.4,7.2,115.0,19.4,62.2,61.7,9.2,18.2,5.7,15.8,3.6,1.6,48.1,0.626,0.4
